"ID","Afqt80","Afqt89","Afqt06"
"583","81","84","73326"
"584","31","33","37337"
"585","24","23","25699"
"586","17","25","22424"
"587",".",".","."
"588","3","2","4328"
"589",".",".","229"
"590",".",".","6771"
"591","73","88","96194"
"592",".",".","."
"593","27","30","26440"
"594","43","39","53342"
"595","20","18","13468"
"596","43","61","69499"
"597","4","4","2826"
"598","19","20","16514"
"599","25","35","31295"
"600","60","62","59737"
"601","52","53","65103"
"602",".",".","."
"603","38","40","39038"
"604","60","50","62762"
"605","36","51","56187"
"606","50","53","72782"
"607","87","80","82311"
"608","87","88","88693"
"609","40","39","45803"
"610","20","23","32629"
"611","71","75","73742"
"612","49","57","48877"
"613","25","28","35747"
"614","25","22","15699"
"615","14","12","16768"
"616","2","5","9141"
"617","18","19","18641"
"618","41","44","42993"
"619","48","50","47764"
"620","2","3","742"
"621","1","1","2528"
"622","37","39","52674"
"623","17","16","12509"
"624","22","17","30312"
"625","7","8","4862"
"626","38","35","22311"
"627","95","87","88779"
"628","3","3","2853"
"629","8","9","3363"
"630","6","7","7666"
"631","23","25","22379"
"632","7","4","1310"
"633","79","76","68248"
"634","55","41","40473"
"635","66","61","57954"
"636","30","32","34526"
"637","35","48","66431"
"638","58","54","52167"
"639","46","49","60396"
"640","69","67","77715"
"641","12","11","8596"
"642","32","27","36216"
"643","25","32","45426"
"644","81","90","90120"
"645","85","89","86137"
"646","2","2","1790"
"647","49","54","43472"
"648","41","29","43275"
"649","93","89","85540"
"650","83","80","77736"
"651","57","66","80597"
"652","75","73","76077"
"653","94","92","90095"
"654","75","71","92083"
"655","49","53","48905"
"656","89","88","92993"
"657","71","70","87226"
"658",".",".","."
"659","46","42","39786"
"660","88","91","86131"
"661","78","81","78922"
"662","51","65","70500"
"663","60","68","76234"
"664","57","51","47912"
"665","49","53","59991"
"666","4","5","6845"
"667","64","69","70912"
"668","13","15","25253"
"669","74","74","79232"
"670","86","86","89419"
"671","77","74","79303"
"672","50","53","65315"
"673",".",".","."
"674","4","4","2926"
"675","2","1","3663"
"676","6","4","2250"
"677","31","41","47975"
"678","15","19","18326"
"679","7","8","8563"
"680","15","22","25213"
"681","2","5","6381"
"682","27","30","34737"
"683","32","38","45808"
"684","22","25","29001"
"685","27","45","55366"
"686","76","73","79313"
"687","80","84","88752"
"688","39","35","41580"
"689","27","24","35381"
"690","62","72","72907"
"691","49","46","57216"
"692","34","27","36055"
"693",".",".","."
"694",".",".","."
"695",".",".","."
"696",".",".","."
"697","18","25","14729"
"698","5","5","8986"
"699","26","26","18419"
"700","17","25","22135"
"701","9","12","10566"
"702","22","29","31226"
"703","51","38","40970"
"704","46","52","46092"
"705","74","65","63710"
"706","22","27","24382"
"707","28","31","31469"
"708","10","8","11809"
"709","28","27","26594"
"710","73","76","59843"
"711","35","34","38582"
"712","93","81","80637"
"713","15","15","14274"
"714","17","18","26688"
"715","20","25","16550"
"716","20","16","15840"
"717","23","27","30429"
"718","76","66","63638"
"719","8","9","6818"
"720","33","32","36158"
"721","18","19","24725"
"722","53","48","38013"
"723","29","27","26792"
"724","71","77","78513"
"725","96","96","97319"
"726",".",".","."
"727",".",".","."
"728","11","11","20133"
"729","81","66","69855"
"730","73","58","70604"
"731","70","55","46018"
"732","57","48","51017"
"733","34","18","27489"
"734","6","11","9683"
"735","22","19","21568"
"736","25","19","25168"
"737","20","18","19153"
"738","53","52","38609"
"739","30","35","28461"
"740","94","85","91432"
"741","43","31","40408"
"742","73","80","64450"
"743","83","82","80579"
"744","3","2","2203"
"745","34","35","31508"
"746","71","68","65278"
"747","50","66","70368"
"748","28","30","23929"
"749","28","23","16594"
"750","18","20","16800"
"751","16","22","28746"
"752","91","84","80463"
"753","26","25","26159"
"754","16","22","37591"
"755","62","46","54906"
"756","16","15","20084"
"757","25","27","31118"
"758","9","10","11905"
"759","12","15","13144"
"760","27","28","39320"
"761","52","51","55614"
"762","41","39","48786"
"763","32","33","34180"
"764","25","21","31809"
"765","39","40","54100"
"766","16","8","8099"
"767","12","13","9262"
"768","75","66","75744"
"769","40","44","34236"
"770","24","27","31921"
"771",".",".","."
"772","54","54","52482"
"773",".",".","."
"774","42","48","53534"
"775","62","61","66148"
"776","96","97","97088"
"777","75","75","79850"
"778","59","76","89794"
"779","38","46","60353"
"780",".",".","."
"781",".",".","."
"782","25","22","13182"
"783","38","29","36082"
"784","32","36","49537"
"785","44","35","24305"
"786","49","46","35693"
"787","22","21","23568"
"788","66","57","52352"
"789","46","35","42361"
"790","21","14","14809"
"791","62","64","83138"
"792","22","26","28537"
"793","81","75","61347"
"794","99","99","100000"
"795","47","47","49078"
"796","95","91","94119"
"797","73","58","68375"
"798","23","29","35662"
"799","37","29","34051"
"800","28","32","32078"
"801","32","30","25324"
"802","21","22","17362"
"803","71","76","78000"
"804","23","28","40982"
"805","28","27","21206"
"806","18","13","13465"
"807","69","71","76332"
"808","54","54","66992"
"809","96","97","90819"
"810","93","89","91719"
"811","66","67","63642"
"812","83","82","86990"
"813","94","92","85915"
"814","36","29","19541"
"815","55","70","66540"
"816","43","39","39343"
"817","65","66","81325"
"818","33","29","35569"
"819","23","22","21881"
"820","51","45","49039"
"821","97","99","99180"
"822",".",".","."
"823","30","27","24129"
"824","86","95","95645"
"825","93","89","89264"
"826","46","52","60734"
"827","93","89","92042"
"828","16","16","16956"
"829","55","50","38888"
"830","25","30","29680"
"831","7","7","5648"
"832","23","28","38997"
"833","10","6","3311"
"834","18","12","13045"
"835","25","19","25338"
"836","41","35","34921"
"837","20","28","25129"
"838","8","6","13781"
"839","6","7","4208"
"840","1","1","324"
"841","71","61","57519"
"842","17","19","24168"
"843","33","32","34453"
"844","18","27","36845"
"845","17","19","20860"
"846","17","19","32623"
"847","36","31","22976"
"848","29","30","32304"
"849","33","35","36881"
"850","78","84","82620"
"851","59","61","55782"
"852","26","29","28681"
