C0000100,C0000200,HtSt,HtSt19to25,WtSt,WtSt19to25
395301,3953,1.535251609,1.522461674,0.507083608,0.606566755
395302,3953,0.546186866,0.542276012,-0.584570687,-0.51963966
396402,3964,0.216498618,0.215547459,0.313011734,0.406352281
397201,3972,0.216498618,0.215547459,0.749673452,0.856834847
397501,3975,-0.772566125,-0.764638203,-0.220685922,0.206137807
397502,3975,0.216498618,0.215547459,-0.220685922,-0.51963966
397701,3977,0.216498618,0.215547459,0.021903922,-0.269371568
398201,3982,-0.11318963,-0.111181095,-0.341980843,-0.394505614
398601,3986,1.864939857,,0.992263295,
398802,3988,-1.431942621,-1.418095311,-0.948455452,-0.895041798
399102,3991,-2.421007364,-2.398280972,-1.433635138,-1.395577982
399301,3993,1.535251609,1.19573312,3.296866807,2.358443399
399303,3993,0.875875114,0.869004566,0.143198843,0.231164616
399501,3995,-0.772566125,-0.764638203,0.385788687,0.481432708
399601,3996,0.875875114,0.869004566,-0.341980843,-0.269371568
399801,3998,-1.102254373,-1.091366757,-0.584570687,-0.51963966
400301,4003,-0.442877878,-0.437909649,0.62837853,0.10603057
400501,4005,0.875875114,0.869004566,1.52596095,1.307317412
400502,4005,0.546186866,0.542276012,0.62837853,0.831808037
400701,4007,-0.442877878,-0.437909649,-0.050873031,0.030950143
401201,4012,0.216498618,0.215547459,0.143198843,0.231164616
401202,4012,-0.11318963,-0.111181095,-0.705865608,-0.644773706
401503,4015,-0.772566125,-0.764638203,-0.99697342,-0.945095416
401602,4016,-0.772566125,-0.764638203,0.167457828,0.256191426
402101,4021,0.216498618,0.215547459,-0.948455452,-0.895041798
402401,4024,-1.102254373,-1.418095311,-0.705865608,-1.020175844
402402,4024,-0.442877878,-0.437909649,-0.099391,-0.019103476
402403,4024,0.546186866,0.542276012,0.749673452,0.856834847
402803,4028,0.546186866,0.542276012,-1.069750373,-1.020175844
403701,4037,0.875875114,0.869004566,-1.312340217,-1.270443936
404101,4041,-0.11318963,-0.111181095,-0.487534749,-0.544666469
404102,4041,0.875875114,0.869004566,1.477442982,1.857907215
404103,4041,1.535251609,1.522461674,1.477442982,1.607639123
404501,4045,-0.772566125,-0.437909649,0.264493765,-0.144237522
405101,4051,-0.11318963,-0.111181095,-1.312340217,-1.270443936
406602,4066,1.535251609,1.522461674,-0.099391,-0.144237522
407701,4077,0.546186866,0.542276012,-0.341980843,-0.269371568
408401,4084,1.205563361,1.19573312,-0.099391,-0.019103476
408501,4085,-0.442877878,-0.437909649,0.021903922,0.10603057
408901,4089,1.864939857,1.849190228,1.841327747,1.857907215
408902,4089,1.864939857,1.849190228,-0.463275765,-0.394505614
410502,4105,0.216498618,0.215547459,0.45856564,0.10603057
411001,4110,-0.772566125,-0.764638203,0.143198843,0.231164616
412001,4120,1.205563361,1.19573312,3.054276963,2.483577445
412102,4121,0.875875114,0.542276012,1.113558217,1.232236985
412103,4121,-0.442877878,-0.437909649,-0.681606624,-0.619746896
412301,4123,0.546186866,0.542276012,-0.463275765,-0.394505614
413301,4133,-0.442877878,-0.437909649,-0.341980843,-0.394505614
413302,4133,0.216498618,0.215547459,0.385788687,0.10603057
413303,4133,-0.772566125,-0.764638203,-0.099391,-0.019103476
413602,4136,-0.442877878,-0.437909649,1.598737903,1.907960833
413603,4136,-0.11318963,-0.111181095,-0.341980843,-0.269371568
414201,4142,-0.772566125,-0.764638203,-0.65734764,-0.594720087
414802,4148,-0.442877878,-0.437909649,-0.948455452,-0.895041798
414901,4149,0.216498618,-0.111181095,0.749673452,0.856834847
414902,4149,-0.772566125,-0.764638203,-0.099391,-0.019103476
416701,4167,0.546186866,0.542276012,3.054276963,3.234381721
416702,4167,-1.431942621,-1.418095311,1.720032825,1.857907215
417001,4170,-0.442877878,-0.437909649,-0.463275765,-0.394505614
417903,4179,-2.421007364,-2.398280972,-1.797519903,-1.77098012
418003,4180,-0.442877878,-0.437909649,0.337270718,0.43137909
418202,4182,-1.431942621,-1.418095311,-1.239563264,-1.14530989
418701,4187,-0.772566125,-0.764638203,-0.584570687,-0.51963966
419401,4194,-0.442877878,0.215547459,0.264493765,0.306245044
419403,4194,0.546186866,0.542276012,-0.341980843,-0.269371568
419702,4197,-0.772566125,-0.437909649,0.507083608,0.231164616
419703,4197,-2.421007364,-2.398280972,-1.069750373,-1.020175844
419801,4198,1.864939857,1.849190228,2.205212512,2.358443399
419903,4199,-1.761630869,-1.744823865,0.507083608,0.10603057
419905,4199,-0.442877878,-0.437909649,-0.65734764,-0.594720087
420303,4203,-1.431942621,-1.418095311,-0.705865608,-0.644773706
421002,4210,-0.442877878,-0.437909649,-0.948455452,-0.895041798
421201,4212,-0.442877878,-0.437909649,-0.075132016,0.005923334
421202,4212,0.875875114,0.869004566,-0.875678499,-0.81996137
421801,4218,-1.102254373,-1.091366757,-0.220685922,-0.144237522
422801,4228,0.216498618,0.542276012,-0.099391,-0.644773706
423102,4231,-0.772566125,-0.764638203,-0.463275765,-0.394505614
423201,4232,-1.102254373,-1.091366757,-0.584570687,-0.544666469
424602,4246,0.546186866,0.542276012,0.870968373,0.981968893
424901,4249,1.205563361,1.19573312,0.264493765,0.356298662
424902,4249,-0.11318963,-0.111181095,-0.584570687,-0.51963966
425601,4256,0.216498618,-0.111181095,-1.312340217,-1.14530989
425602,4256,0.546186866,0.542276012,0.021903922,0.10603057
426201,4262,-0.772566125,,-0.341980843,
426202,4262,-0.11318963,-0.111181095,-0.82716053,-0.920068607
426203,4262,0.546186866,0.542276012,-0.948455452,-0.895041798
426801,4268,0.546186866,0.869004566,1.35614806,0.005923334
427401,4274,-0.11318963,-0.111181095,0.143198843,0.231164616
427402,4274,-0.11318963,-0.111181095,-0.463275765,-0.51963966
427403,4274,-0.11318963,-0.111181095,-0.705865608,-0.644773706
427501,4275,-0.442877878,-0.437909649,-1.191045295,-1.14530989
427703,4277,-0.11318963,-0.111181095,0.07042189,0.156084189
428001,4280,-1.102254373,-1.091366757,0.992263295,1.107102939
428002,4280,0.216498618,0.215547459,-0.463275765,-0.019103476
428101,4281,-1.761630869,-1.744823865,0.870968373,0.981968893
428201,4282,-0.772566125,-0.764638203,-0.099391,0.10603057
428202,4282,-0.772566125,-0.764638203,-0.99697342,-0.945095416
428301,4283,1.535251609,1.522461674,0.143198843,0.231164616
429001,4290,0.546186866,0.542276012,-0.705865608,-0.644773706
429002,4290,-1.431942621,-1.418095311,-0.705865608,-0.644773706
429101,4291,-1.102254373,-1.091366757,-0.341980843,-0.269371568
429401,4294,-0.772566125,-0.764638203,-0.82716053,-0.769907752
429402,4294,-1.761630869,-1.744823865,-1.482153107,-1.4456316
429501,4295,-1.102254373,-0.764638203,-0.341980843,-0.269371568
429503,4295,0.546186866,0.542276012,0.07042189,0.156084189
432301,4323,-1.431942621,-1.418095311,3.175571885,2.108175307
432302,4323,-0.772566125,-0.764638203,-0.244944906,-0.169264331
432601,4326,1.205563361,1.19573312,-0.050873031,0.030950143
433701,4337,0.216498618,0.215547459,-0.220685922,-0.144237522
434101,4341,-1.761630869,-1.091366757,-1.191045295,1.607639123
434501,4345,-0.442877878,-0.437909649,-0.584570687,-0.51963966
435401,4354,-0.442877878,-0.437909649,-1.312340217,-1.14530989
435402,4354,-0.442877878,-0.437909649,-1.021232405,-0.970122225
436701,4367,0.875875114,0.869004566,-0.220685922,-0.144237522
436801,4368,0.546186866,0.542276012,2.326507433,1.607639123
437102,4371,1.205563361,1.19573312,-1.069750373,-1.020175844
437301,4373,-0.442877878,-0.437909649,-0.099391,-0.019103476
437602,4376,1.205563361,1.19573312,0.507083608,0.606566755
437801,4378,-0.11318963,-0.111181095,-0.948455452,-0.895041798
437802,4378,0.875875114,0.869004566,-0.584570687,-0.51963966
437803,4378,0.546186866,0.542276012,-0.82716053,-0.769907752
437901,4379,-1.102254373,-1.091366757,0.919486342,0.10603057
438301,4383,1.535251609,1.849190228,0.992263295,0.956942083
439102,4391,0.216498618,0.215547459,1.234853138,1.357371031
439601,4396,-0.442877878,-0.437909649,0.62837853,0.731700801
439602,4396,0.546186866,0.542276012,-0.099391,-0.019103476
440002,4400,1.535251609,1.522461674,-0.220685922,-0.269371568
440402,4404,0.546186866,0.542276012,-0.341980843,-0.269371568
441601,4416,-0.11318963,-0.111181095,2.447802355,0.606566755
441603,4416,-1.761630869,-1.744823865,-0.948455452,-1.045202653
441701,4417,0.546186866,0.542276012,0.143198843,-0.144237522
443901,4439,0.546186866,0.542276012,-0.705865608,-0.644773706
444502,4445,0.875875114,0.869004566,-0.220685922,-0.144237522
444702,4447,1.864939857,1.849190228,-1.069750373,-1.020175844
445001,4450,-0.11318963,0.215547459,-0.82716053,-1.14530989
446301,4463,-0.442877878,,0.507083608,
446303,4463,1.864939857,1.849190228,-0.172167953,-0.094183903
447301,4473,-1.102254373,-1.091366757,0.264493765,0.356298662
447302,4473,1.535251609,1.522461674,0.021903922,0.10603057
447401,4474,-0.772566125,-0.764638203,-0.948455452,-0.895041798
447901,4479,2.194628105,2.175918782,0.62837853,0.731700801
448301,4483,0.875875114,0.542276012,1.137817201,0.731700801
448501,4485,1.205563361,1.19573312,0.215975796,-0.019103476
448701,4487,-0.11318963,-0.111181095,0.992263295,1.107102939
448702,4487,0.546186866,0.542276012,0.749673452,0.856834847
449001,4490,0.546186866,0.542276012,0.749673452,0.10603057
449003,4490,-1.102254373,-1.091366757,-0.948455452,-0.895041798
449601,4496,1.864939857,1.849190228,1.35614806,1.357371031
450601,4506,-0.442877878,-0.437909649,0.021903922,0.10603057
452201,4522,-0.442877878,-0.437909649,-0.584570687,-0.51963966
453402,4534,-0.11318963,-0.111181095,0.385788687,0.481432708
453601,4536,0.216498618,0.215547459,3.175571885,3.359515767
453701,4537,-0.11318963,-0.111181095,0.749673452,-0.144237522
453702,4537,0.216498618,0.215547459,1.113558217,0.856834847
