"SubjectTag","ExtendedID","Generation","Gender","RaceCohort","SiblingCountInNls","BirthOrderInNls","SimilarAgeCount","HasMzPossibly","KidCountBio","KidCountInNls","Mob","LastSurveyYearCompleted","AgeAtLastSurvey","IsDead","DeathDate"
926201,9261,2,1,1,1,1,1,0,0,NA,1979-02-15,2008,28.94455909729,0,NA
926300,9263,1,1,1,1,1,1,0,2,0,1957-08-15,2000,43.2991104125977,0,NA
926400,9264,1,2,1,3,1,1,0,3,3,1960-10-15,2010,49.2867889404297,0,NA
926401,9264,2,1,1,3,1,1,0,NA,NA,1979-10-15,NA,NA,0,NA
926402,9264,2,1,1,3,2,1,0,0,NA,1981-01-15,2010,29.032169342041,0,NA
926403,9264,2,1,1,3,3,1,0,1,NA,1982-06-15,2010,27.4852848052979,0,NA
926500,9264,1,1,1,3,2,1,0,0,0,1961-12-15,2010,48.5612602233887,0,NA
926600,9264,1,1,1,3,3,1,0,2,0,1964-02-15,2010,46.3353881835938,0,NA
926700,9267,1,1,1,4,1,1,0,1,0,1959-08-15,1983,23.5236148834229,0,NA
926800,9267,1,2,1,4,2,1,0,2,2,1960-10-15,2008,47.655029296875,0,NA
926801,9267,2,2,1,2,1,1,0,1,NA,1983-09-15,2010,27.0527038574219,0,NA
926802,9267,2,1,1,2,2,1,0,0,NA,2002-08-15,2008,5.9986310005188,0,NA
926900,9267,1,1,1,4,3,1,0,1,0,1961-12-15,2000,38.8254623413086,0,NA
927000,9267,1,1,1,4,4,1,0,1,0,1963-03-15,2010,47.2279243469238,0,NA
927100,9271,1,1,3,1,1,1,0,0,0,1959-12-15,1990,30.6036968231201,0,NA
927200,9272,1,2,1,1,1,1,0,3,3,1957-03-15,2010,53.3552360534668,0,NA
927201,9272,2,1,1,3,1,1,0,3,NA,1975-01-15,2008,33.3470230102539,0,NA
927202,9272,2,1,1,3,2,1,0,1,NA,1977-10-15,2010,32.7665977478027,0,NA
927203,9272,2,1,1,3,3,1,0,0,NA,1984-08-15,2010,25.9493503570557,0,NA
927300,9273,1,2,1,1,1,1,0,4,4,1960-01-15,2010,50.3189582824707,0,NA
927301,9273,2,2,1,4,1,1,0,2,NA,1975-04-15,2008,33.0513343811035,0,NA
927302,9273,2,1,1,4,2,1,0,2,NA,1977-06-15,2010,32.9062271118164,0,NA
927303,9273,2,2,1,4,3,1,0,NA,NA,1983-10-15,2010,26.5708427429199,0,NA
927304,9273,2,2,1,4,4,1,0,NA,NA,1990-01-15,2010,20.317590713501,0,NA
927400,9274,1,2,2,1,1,1,0,3,3,1957-04-15,2010,52.7556457519531,0,NA
927401,9274,2,1,2,3,1,1,0,1,NA,1975-09-15,2008,32.4353179931641,0,NA
927402,9274,2,2,2,3,2,1,0,NA,NA,1979-02-15,2008,29.3524990081787,0,NA
927403,9274,2,2,2,3,3,1,0,1,NA,1983-02-15,2010,27.6303901672363,0,NA
927500,9275,1,2,1,1,1,1,0,4,4,1963-06-15,2010,46.6502380371094,0,NA
927501,9275,2,1,1,4,1,1,0,5,NA,1980-11-15,2010,30.0342235565186,0,NA
927502,9275,2,1,1,4,2,1,0,2,NA,1982-06-15,2010,28.4188919067383,0,NA
927503,9275,2,2,1,4,3,1,0,2,NA,1985-12-15,2010,23.9780979156494,0,NA
927504,9275,2,1,1,4,4,1,0,1,NA,1987-07-15,2010,22.6776180267334,0,NA
927600,9276,1,1,1,2,1,1,0,3,0,1961-01-15,2010,49.2073936462402,0,NA
927700,9276,1,2,1,2,2,1,0,3,3,1962-11-15,2010,47.3127975463867,0,NA
927701,9276,2,2,1,3,1,1,0,2,NA,1978-12-15,2008,29.1416835784912,0,NA
927702,9276,2,2,1,3,2,1,0,2,NA,1980-06-15,2010,29.7138938903809,0,NA
927703,9276,2,1,1,3,3,1,0,0,NA,1982-07-15,2010,27.6276531219482,0,NA
927800,9278,1,2,1,1,1,1,0,2,2,1963-07-15,2002,39.2635192871094,0,NA
927801,9278,2,1,1,2,1,1,0,5,NA,1981-08-15,2010,29.0595474243164,0,NA
927802,9278,2,2,1,2,2,1,0,1,NA,1986-05-15,2010,24.3121147155762,0,NA
927900,9279,1,1,2,3,1,1,0,3,0,1959-08-15,2010,50.562629699707,0,NA
928000,9279,1,1,2,3,2,1,0,1,0,1961-01-15,2010,49.0814514160156,0,NA
928100,9279,1,2,2,3,3,1,0,3,3,1963-01-15,2010,47.1895942687988,0,NA
928101,9279,2,1,2,3,1,1,0,NA,NA,1981-03-15,2010,29.0595474243164,0,NA
928102,9279,2,2,2,3,2,1,0,2,NA,1983-03-15,2010,27.0362758636475,0,NA
928103,9279,2,1,2,3,3,1,0,NA,NA,1995-05-15,NA,NA,0,NA
928200,9282,1,1,1,2,1,1,0,4,0,1960-07-15,2010,49.6481857299805,0,NA
928300,9282,1,1,1,2,2,1,0,4,0,1963-03-15,2010,46.8610534667969,0,NA
928400,9284,1,2,1,1,1,1,0,4,4,1960-05-15,2010,49.7713890075684,0,NA
928401,9284,2,2,1,4,1,1,0,2,NA,1976-02-15,2010,34.3490753173828,0,NA
928402,9284,2,1,1,4,2,1,0,1,NA,1977-09-15,2008,31.0088977813721,0,NA
928403,9284,2,1,1,4,3,1,0,NA,NA,1978-10-15,2006,28.1533203125,0,NA
928404,9284,2,2,1,4,4,1,0,2,NA,1982-04-15,2010,28.1478443145752,0,NA
928500,9285,1,1,2,2,1,1,0,2,0,1962-04-15,2010,47.8165626525879,0,NA
928600,9285,1,2,2,2,2,1,0,2,2,1963-09-15,2008,44.4407920837402,0,NA
928601,9285,2,2,2,2,1,1,0,0,NA,1986-06-15,2010,23.885009765625,0,NA
928602,9285,2,1,2,2,2,1,0,0,NA,1991-10-15,2010,18.4996585845947,0,NA
928700,9287,1,2,2,2,1,1,0,4,4,1957-02-15,2010,53.3086929321289,0,NA
928701,9287,2,2,2,4,1,1,0,2,NA,1981-09-15,2010,28.7227916717529,0,NA
