ExtendedID,SubjectTag_S1,SubjectTag_S2,R,RelationshipPath
96,9602,1175100,.,AuntNiece
96,9603,1175100,.,AuntNiece
97,9700,9701,0.5,ParentChild
97,9700,9702,0.5,ParentChild
97,9701,9702,0.5,Gen2Siblings
98,9800,9801,0.5,ParentChild
98,9800,9802,0.5,ParentChild
98,9800,9803,0.5,ParentChild
98,9801,9802,0.5,Gen2Siblings
98,9801,9803,0.5,Gen2Siblings
98,9802,9803,0.5,Gen2Siblings
99,9900,9901,0.5,ParentChild
99,9900,9902,0.5,ParentChild
99,9901,9902,0.5,Gen2Siblings
100,10000,10001,0.5,ParentChild
100,10000,10002,0.5,ParentChild
100,10000,10003,0.5,ParentChild
100,10001,10002,0.5,Gen2Siblings
100,10001,10003,0.5,Gen2Siblings
100,10002,10003,0.5,Gen2Siblings
101,10100,10200,0.5,Gen1Housemates
101,10100,10201,0.25,AuntNiece
101,10200,10201,0.5,ParentChild
107,10700,10800,0.5,Gen1Housemates
110,11000,11100,0.5,Gen1Housemates
110,11000,11101,0.25,AuntNiece
110,11000,11102,0.25,AuntNiece
110,11000,11103,0.25,AuntNiece
110,11000,11200,0.5,Gen1Housemates
110,11000,11201,0.25,AuntNiece
110,11000,11202,0.25,AuntNiece
110,11100,11101,0.5,ParentChild
110,11100,11102,0.5,ParentChild
110,11100,11103,0.5,ParentChild
110,11100,11200,0.5,Gen1Housemates
110,11100,11201,0.25,AuntNiece
110,11100,11202,0.25,AuntNiece
110,11101,11102,0.5,Gen2Siblings
110,11101,11103,0.5,Gen2Siblings
110,11101,11200,0.25,AuntNiece
110,11101,11201,0.125,Gen2Cousins
110,11101,11202,0.125,Gen2Cousins
110,11102,11103,0.5,Gen2Siblings
110,11102,11200,0.25,AuntNiece
110,11102,11201,0.125,Gen2Cousins
110,11102,11202,0.125,Gen2Cousins
110,11103,11200,0.25,AuntNiece
110,11103,11201,0.125,Gen2Cousins
110,11103,11202,0.125,Gen2Cousins
110,11200,11201,0.5,ParentChild
110,11200,11202,0.5,ParentChild
110,11201,11202,0.25,Gen2Siblings
113,11300,11400,.,Gen1Housemates
115,11500,11600,0.5,Gen1Housemates
115,11500,11700,0.5,Gen1Housemates
115,11600,11700,0.5,Gen1Housemates
118,11800,11801,0.5,ParentChild
118,11800,11802,0.5,ParentChild
118,11800,11900,0.5,Gen1Housemates
118,11801,11802,0.375,Gen2Siblings
118,11801,11900,0.25,AuntNiece
118,11802,11900,0.25,AuntNiece
120,12000,12100,0.5,Gen1Housemates
120,12000,12101,0.25,AuntNiece
120,12100,12101,0.5,ParentChild
124,12400,12401,0.5,ParentChild
124,12400,12402,0.5,ParentChild
124,12400,12500,0.5,Gen1Housemates
124,12400,12600,0.5,Gen1Housemates
124,12401,12402,0.5,Gen2Siblings
124,12401,12500,0.25,AuntNiece
124,12401,12600,0.25,AuntNiece
124,12402,12500,0.25,AuntNiece
124,12402,12600,0.25,AuntNiece
124,12500,12600,0.5,Gen1Housemates
128,12800,12801,0.5,ParentChild
128,12800,12802,0.5,ParentChild
128,12801,12802,0.5,Gen2Siblings
133,13300,13301,0.5,ParentChild
134,13400,13500,0.5,Gen1Housemates
137,13700,13701,0.5,ParentChild
137,13700,13702,0.5,ParentChild
137,13700,13800,0.5,Gen1Housemates
137,13700,13801,0.25,AuntNiece
137,13700,13802,0.25,AuntNiece
137,13700,13803,0.25,AuntNiece
137,13700,13900,0.5,Gen1Housemates
137,13701,13702,0.5,Gen2Siblings
137,13701,13800,0.25,AuntNiece
137,13701,13801,0.125,Gen2Cousins
137,13701,13802,0.125,Gen2Cousins
137,13701,13803,0.125,Gen2Cousins
137,13701,13900,0.25,AuntNiece
137,13702,13800,0.25,AuntNiece
137,13702,13801,0.125,Gen2Cousins
137,13702,13802,0.125,Gen2Cousins
137,13702,13803,0.125,Gen2Cousins
137,13702,13900,0.25,AuntNiece
137,13800,13801,0.5,ParentChild
137,13800,13802,0.5,ParentChild
137,13800,13803,0.5,ParentChild
137,13800,13900,0.5,Gen1Housemates
137,13801,13802,0.5,Gen2Siblings
137,13801,13803,0.5,Gen2Siblings
137,13801,13900,0.25,AuntNiece
137,13802,13803,0.5,Gen2Siblings
137,13802,13900,0.25,AuntNiece
137,13803,13900,0.25,AuntNiece
140,14000,14001,0.5,ParentChild
142,14200,14300,0.5,Gen1Housemates
142,14200,14301,0.25,AuntNiece
142,14200,14302,0.25,AuntNiece
142,14200,14303,0.25,AuntNiece
142,14200,14304,0.25,AuntNiece
142,14200,14400,0.5,Gen1Housemates
142,14200,14401,0.25,AuntNiece
142,14200,14402,0.25,AuntNiece
142,14200,14403,0.25,AuntNiece
142,14300,14301,0.5,ParentChild
142,14300,14302,0.5,ParentChild
142,14300,14303,0.5,ParentChild
142,14300,14304,0.5,ParentChild
142,14300,14400,0.5,Gen1Housemates
142,14300,14401,0.25,AuntNiece
142,14300,14402,0.25,AuntNiece
142,14300,14403,0.25,AuntNiece
142,14301,14302,0.5,Gen2Siblings
142,14301,14303,0.5,Gen2Siblings
142,14301,14304,0.5,Gen2Siblings
142,14301,14400,0.25,AuntNiece
142,14301,14401,0.125,Gen2Cousins
142,14301,14402,0.125,Gen2Cousins
142,14301,14403,0.125,Gen2Cousins
142,14302,14303,0.5,Gen2Siblings
142,14302,14304,0.5,Gen2Siblings
142,14302,14400,0.25,AuntNiece
142,14302,14401,0.125,Gen2Cousins
142,14302,14402,0.125,Gen2Cousins
142,14302,14403,0.125,Gen2Cousins
142,14303,14304,0.5,Gen2Siblings
142,14303,14400,0.25,AuntNiece
142,14303,14401,0.125,Gen2Cousins
142,14303,14402,0.125,Gen2Cousins
142,14303,14403,0.125,Gen2Cousins
142,14304,14400,0.25,AuntNiece
142,14304,14401,0.125,Gen2Cousins
142,14304,14402,0.125,Gen2Cousins
142,14304,14403,0.125,Gen2Cousins
142,14400,14401,0.5,ParentChild
142,14400,14402,0.5,ParentChild
142,14400,14403,0.5,ParentChild
142,14401,14402,0.5,Gen2Siblings
142,14401,14403,0.5,Gen2Siblings
142,14402,14403,0.5,Gen2Siblings
145,14500,14600,0.5,Gen1Housemates
147,14700,14701,0.5,ParentChild
147,14700,14702,0.5,ParentChild
147,14701,14702,0.5,Gen2Siblings
148,14800,14900,0.5,Gen1Housemates
148,14800,14901,0.25,AuntNiece
148,14800,14902,0.25,AuntNiece
148,14900,14901,0.5,ParentChild
148,14900,14902,0.5,ParentChild
148,14901,14902,0.5,Gen2Siblings
151,15100,15200,0.5,Gen1Housemates
153,15300,15301,0.5,ParentChild
153,15300,15302,0.5,ParentChild
153,15300,15400,0.5,Gen1Housemates
153,15301,15302,0.5,Gen2Siblings
153,15301,15400,0.25,AuntNiece
153,15302,15400,0.25,AuntNiece
157,15700,15701,0.5,ParentChild
157,15700,15702,0.5,ParentChild
157,15700,15800,0.5,Gen1Housemates
157,15700,15801,0.25,AuntNiece
157,15700,15802,0.25,AuntNiece
157,15700,15900,0.5,Gen1Housemates
157,15700,15901,0.25,AuntNiece
157,15700,15902,0.25,AuntNiece
157,15700,15903,0.25,AuntNiece
157,15700,15904,0.25,AuntNiece
157,15700,15905,0.25,AuntNiece
157,15701,15702,0.5,Gen2Siblings
157,15701,15800,0.25,AuntNiece
157,15701,15801,0.125,Gen2Cousins
157,15701,15802,0.125,Gen2Cousins
157,15701,15900,0.25,AuntNiece
157,15701,15901,0.125,Gen2Cousins
157,15701,15902,0.125,Gen2Cousins
157,15701,15903,0.125,Gen2Cousins
157,15701,15904,0.125,Gen2Cousins
157,15701,15905,0.125,Gen2Cousins
157,15702,15800,0.25,AuntNiece
157,15702,15801,0.125,Gen2Cousins
157,15702,15802,0.125,Gen2Cousins
157,15702,15900,0.25,AuntNiece
157,15702,15901,0.125,Gen2Cousins
157,15702,15902,0.125,Gen2Cousins
157,15702,15903,0.125,Gen2Cousins
157,15702,15904,0.125,Gen2Cousins
