"R0000100","R0214700","R0214800","R9908100","R9908200","R9908300","R9908600","R9909700","R9909800","R9910400"
6571,3,2,-998,-998,-998,-999,-998,-998,0
6572,3,2,25,27,-996,21,50,1,0
6573,3,1,19,23,-996,18,12,1,-4
6574,2,1,28,35,-996,28,4,0,-4
6575,2,2,20,-997,-997,-999,-997,-997,0
6576,2,1,31,31,-996,30,7,1,-4
6577,3,1,22,24,-996,20,18,1,-4
6578,3,2,22,25,-996,20,22,1,0
6579,3,2,17,20,23,22,58,0,0
6580,3,2,-998,-998,-998,22,-998,-998,1
6581,3,1,-998,-998,-998,-999,-998,-998,-4
6582,3,1,19,-997,-997,19,1,0,-4
6583,3,1,20,24,-996,18,21,1,-4
6584,3,1,23,-997,-997,19,50,1,-4
6585,3,1,23,26,-996,19,47,1,-4
6586,3,2,18,22,-996,15,47,1,0
6587,2,2,15,18,23,18,37,0,1
6588,3,1,21,26,-996,21,6,1,-4
6589,3,1,-998,-998,-998,21,-998,-998,-4
6590,3,2,21,26,-996,21,4,1,0
6591,3,2,18,22,24,17,10,1,0
6592,3,2,19,21,25,-999,-997,-997,1
6593,2,1,19,20,23,19,7,0,-4
6594,2,1,27,-997,-997,-999,-997,-997,-4
6595,1,1,26,31,-996,22,53,1,-4
6596,2,1,-998,-998,-998,-999,-998,-998,-4
6597,2,1,-998,-998,-998,33,-998,-998,-4
6598,2,1,22,-997,-997,-999,-997,-997,-4
6599,2,2,-998,-998,-998,-999,-998,-998,0
6600,2,1,-998,-998,-998,-999,-998,-998,-4
6601,2,1,22,-3,26,20,24,1,-4
6602,2,2,17,18,22,18,13,0,0
6603,2,1,20,25,-996,28,99,0,-4
6604,2,2,18,22,36,20,21,0,0
6605,2,2,23,25,-996,-999,-997,-997,0
6606,2,2,17,20,22,26,105,0,1
6607,3,1,19,22,-996,19,5,1,-4
6608,3,1,20,-997,-997,19,16,1,-4
6609,3,2,22,26,-996,21,12,1,0
6610,3,2,21,23,27,20,13,1,2
6611,3,2,20,-997,-997,-999,-997,-997,0
6612,3,2,21,22,-996,20,6,1,1
6613,3,2,23,23,-996,20,36,1,0
6614,3,2,20,23,23,19,20,1,0
6615,3,2,19,21,-996,18,11,1,0
6616,3,2,-998,-998,-998,23,-998,-998,0
6617,2,1,-998,-998,-998,-999,-998,-998,-4
6618,3,2,17,19,21,18,12,0,1
6619,3,2,-998,-998,-998,25,-998,-998,0
6620,3,1,20,22,-996,20,10,1,-4
6621,3,2,-998,-998,-998,22,-998,-998,1
6622,3,2,21,23,28,-999,-997,-997,0
6623,3,1,20,-997,-997,19,6,1,-4
6624,3,1,20,-997,-997,-999,-997,-997,-4
6625,3,1,17,19,-996,24,77,0,-4
6626,3,1,-998,-998,-998,29,-998,-998,-4
6627,3,2,32,-997,-997,22,114,1,0
6628,3,2,20,23,-996,21,10,0,0
6629,3,2,19,23,24,19,6,1,0
6630,3,2,20,24,-996,20,8,1,1
6631,3,2,-998,-998,-998,-999,-998,-998,-4
6632,3,1,-998,-998,-998,-999,-998,-998,-4
6633,3,1,-998,-998,-998,26,-998,-998,-4
6634,3,1,21,26,-996,21,6,0,-4
6635,3,1,25,-997,-997,23,32,1,-4
6636,3,2,-998,-998,-998,21,-998,-998,0
6637,3,2,17,20,-996,17,5,1,0
6638,3,2,20,21,-996,19,5,1,0
6639,3,2,29,29,30,28,11,1,1
6640,3,1,21,23,27,20,17,1,-4
6641,3,2,20,22,-996,19,17,1,0
6642,2,2,16,20,26,17,1,0,2
6643,1,2,14,15,23,15,10,0,0
6644,1,2,21,27,-996,18,47,1,0
6645,2,2,29,31,-996,27,32,1,0
6646,2,2,34,40,-996,32,27,1,1
6647,2,2,30,32,-996,28,24,1,2
6648,2,1,32,36,-996,30,15,1,-4
6649,1,1,-998,-998,-998,28,-998,-998,-4
6650,2,1,19,24,31,24,52,0,-4
6651,1,2,21,36,-996,-999,-997,-997,1
6652,1,2,25,-997,-997,40,177,0,0
6653,1,1,21,28,-996,19,23,1,-4
6654,1,2,22,28,33,20,23,1,0
6655,1,2,-998,-998,-998,20,-998,-998,0
6656,1,1,-998,-998,-998,-999,-998,-998,-4
6657,1,1,19,28,-996,-999,-997,-997,-4
6658,1,2,17,25,31,17,4,1,0
6659,1,2,18,21,-996,17,11,1,0
6660,1,1,25,-997,-997,20,63,1,-4
6661,1,1,21,23,26,20,14,1,-4
6662,1,2,24,30,35,22,28,1,0
6663,1,2,-998,-998,-998,39,-998,-998,0
6664,3,2,16,-997,-997,-999,-997,-997,0
6665,2,2,20,24,-996,20,2,1,0
6666,2,2,28,-997,-997,-999,-997,-997,2
6667,2,2,21,24,-996,31,121,0,0
6668,2,2,23,26,-996,20,41,1,0
6669,2,2,18,26,28,-999,-997,-997,1
6670,2,1,22,31,-996,27,65,0,-4
6671,2,2,18,23,25,-3,-999,-999,0
6672,2,2,16,20,33,-999,-997,-997,0
6673,1,1,24,25,29,22,26,1,-4
6674,1,2,23,24,28,23,8,0,0
6675,1,2,19,21,24,21,28,0,0
6676,1,2,17,20,22,16,16,1,0
6677,2,1,25,28,31,36,139,0,-4
6678,2,1,-998,-998,-998,-999,-998,-998,-4
6679,1,1,27,-997,-997,-999,-997,-997,-4
6680,1,1,22,27,-996,22,4,1,-4
6681,1,1,27,-997,-997,-999,-997,-997,-4
6682,1,1,21,-997,-997,-999,-997,-997,-4
6683,2,2,-998,-998,-998,-1,-998,-998,-4
6684,2,2,17,22,31,17,5,0,0
6685,3,2,18,-997,-997,-999,-997,-997,1
6686,3,2,-998,-998,-998,-999,-998,-998,1
6687,3,1,32,-997,-997,32,6,1,-4
6688,3,2,-998,-998,-998,-999,-998,-998,-4
6689,3,1,24,26,-996,22,24,1,-4
6690,3,1,-998,-998,-998,-999,-998,-998,-4
6691,3,1,24,-997,-997,23,19,1,-4
6692,3,2,-3,-3,-996,20,-999,-999,-4
6693,1,2,26,29,-996,21,57,1,1
6694,1,2,20,-997,-997,19,12,1,0
6695,3,2,23,28,-996,-999,-997,-997,0
6696,3,1,24,27,-996,26,24,0,-4
6697,2,1,-998,-998,-998,-999,-998,-998,-4
6698,2,1,-998,-998,-998,-999,-998,-998,-4
6699,3,2,24,30,-996,22,34,1,0
6700,3,1,-998,-998,-998,-999,-998,-998,-4
6701,3,1,-998,-998,-998,-999,-998,-998,-4
6702,2,1,-998,-998,-998,-999,-998,-998,-4
6703,2,2,29,30,35,22,84,1,0
6704,1,2,20,27,29,19,11,1,0
6705,1,1,25,27,-996,21,53,1,-4
6706,1,1,32,43,-996,-3,-999,-999,-4
6707,2,2,34,35,37,25,109,1,0
6708,2,2,33,-997,-997,31,34,1,0
6709,2,2,20,22,35,21,13,0,0
6710,2,1,23,24,-996,-999,-997,-997,-4
6711,1,2,19,25,-996,18,4,1,0
6712,1,2,30,31,-996,27,34,1,-4
6713,1,1,-998,-998,-998,-999,-998,-998,-4
6714,3,2,15,-997,-997,-999,-997,-997,0
6715,1,2,-998,-998,-998,-999,-998,-998,-3
6716,2,1,20,20,-996,-999,-997,-997,-4
6717,2,1,17,23,30,23,66,0,-4
6718,2,2,39,-997,-997,-3,-999,-999,0
6719,2,1,21,35,-996,-999,-997,-997,-4
6720,2,2,25,-997,-997,-999,-997,-997,0
6721,2,1,19,24,34,32,160,0,-4
6722,2,2,18,-997,-997,31,151,0,2
6723,2,1,-998,-998,-998,-999,-998,-998,-4
6724,2,1,20,-997,-997,-999,-997,-997,-4
6725,1,2,24,29,-996,-999,-997,-997,0
6726,1,2,-998,-998,-998,-999,-998,-998,-4
6727,1,2,-998,-998,-998,-999,-998,-998,0
6728,2,1,-998,-998,-998,-999,-998,-998,-4
6729,2,1,25,25,28,39,164,0,-4
6730,2,2,20,-997,-997,-999,-997,-997,0
6731,2,2,33,-997,-997,25,102,1,0
6732,2,1,31,-997,-997,-999,-997,-997,-4
6733,2,1,22,27,28,-999,-997,-997,-4
6734,2,2,24,30,-996,22,22,1,0
6735,2,1,25,29,30,28,38,0,-4
6736,2,1,32,35,36,31,11,1,-4
6737,1,2,-998,-998,-998,-999,-998,-998,0
6738,1,2,33,37,-996,32,21,1,0
6739,1,1,29,38,40,26,41,1,-4
6740,1,2,18,-997,-997,39,251,0,1
6741,1,2,27,-997,-997,37,128,0,0
6742,1,2,24,27,28,23,19,1,0
6743,1,1,25,29,-996,23,17,1,-4
6744,1,2,18,20,-996,35,203,0,0
6745,1,2,22,24,-996,21,15,1,0
6746,2,1,18,-997,-997,-999,-997,-997,-4
6747,2,2,21,23,-996,-999,-997,-997,0
6748,2,1,20,22,-3,-999,-997,-997,-4
