"","Subject1Tag","Subject2Tag","ExtendedID","R","RelationshipPath","Intell_1","Strength_1","Orientation_1","Intell_2","Strength_2","Orientation_2"
"4792",1020100,1020200,10200,NA,1,4.087,-0.15871286,0,30.907,0.1310922787,-1
"4793",1021700,1021800,10217,NA,1,5.147,NA,NA,56.962,NA,NA
"4794",1022100,1022200,10221,NA,1,58.832,NA,NA,57.209,NA,NA
"4795",1023000,1023100,10230,NA,1,50.066,NA,NA,19.978,NA,NA
"4796",1023200,1023300,10232,0.5,1,62.977,0.6871693869,-1,35.132,NA,NA
"4797",1024000,1024100,10240,NA,1,47.23,NA,NA,40.828,NA,NA
"4798",1024200,1024300,10242,NA,1,39.183,NA,NA,48.04,NA,NA
"4799",1024400,1024500,10244,NA,1,NA,NA,NA,NA,NA,NA
"4800",1025100,1025200,10251,NA,1,60.884,NA,NA,62.615,NA,NA
"4801",1025300,1025400,10253,NA,1,9.169,NA,NA,61.991,NA,NA
"4802",1025600,1025700,10256,NA,1,32.175,NA,NA,5.324,NA,NA
"4803",1025600,1025800,10256,NA,1,32.175,NA,NA,1.035,NA,NA
"4804",1025700,1025800,10256,NA,1,5.324,NA,NA,1.035,NA,NA
"4805",1026000,1026100,10260,NA,1,31.899,NA,NA,69.047,NA,NA
"4806",1026300,1026400,10263,NA,1,93.436,NA,NA,83.325,NA,NA
"4807",1026500,1026600,10265,NA,1,86.129,NA,NA,77.16,NA,NA
"4808",1026700,1026800,10267,NA,1,60.315,NA,NA,38.221,NA,NA
"4809",1026700,1026900,10267,NA,1,60.315,NA,NA,81.557,NA,NA
"4810",1026800,1026900,10267,NA,1,38.221,NA,NA,81.557,NA,NA
"4811",1027100,1027200,10271,NA,1,81.595,NA,NA,63.85,NA,NA
"4812",1027100,1027300,10271,NA,1,81.595,NA,NA,61.36,NA,NA
"4813",1027200,1027300,10271,NA,1,63.85,NA,NA,61.36,NA,NA
"4814",1027600,1027700,10276,NA,1,70.807,NA,NA,74.523,NA,NA
"4815",1028000,1028100,10280,NA,1,97.097,NA,NA,75.214,NA,NA
"4816",1028000,1028200,10280,NA,1,97.097,NA,NA,66.173,NA,NA
"4817",1028100,1028200,10280,NA,1,75.214,NA,NA,66.173,NA,NA
"4818",1028700,1028800,10287,NA,1,NA,NA,NA,NA,NA,NA
"4819",1028700,1028900,10287,NA,1,NA,NA,NA,NA,NA,NA
"4820",1028800,1028900,10287,NA,1,NA,NA,NA,NA,NA,NA
"4821",1029000,1029100,10290,NA,1,6.052,NA,NA,42.644,NA,NA
"4822",1029300,1029400,10293,NA,1,44.137,NA,NA,14.497,NA,NA
"4823",1029600,1029700,10296,NA,1,41.729,NA,NA,73.916,NA,NA
"4824",1029800,1029900,10298,NA,1,34.85,NA,NA,25.532,NA,NA
"4825",1030500,1030600,10305,0.5,1,79.191,NA,NA,62.705,0.4091308328,-1
"4826",1031100,1031200,10311,0.5,1,28.229,0.965207941,1,49.359,0.1310922787,1
"4827",1031600,1031700,10316,NA,1,7.57,NA,NA,15.965,NA,NA
"4828",1032700,1032800,10327,0.5,1,5.596,-0.575770691,0,4.676,0.965207941,1
"4829",1032900,1033000,10329,0.5,1,30.231,0.6871693869,-1,5.476,0.0297751287,-1
"4830",1033300,1033400,10333,0.25,1,9.288,0.4498656931,-1,10.97,-0.606321836,0
"4831",1033800,1033900,10338,0.5,1,10.512,0.6871693869,-1,50.933,0.6871693869,-1
"4832",1034200,1034300,10342,NA,1,82.602,NA,NA,51.271,NA,NA
"4833",1034700,1034800,10347,NA,1,4.468,NA,NA,10.893,NA,NA
"4834",1034700,1034900,10347,NA,1,4.468,NA,NA,8.432,NA,NA
"4835",1034800,1034900,10347,NA,1,10.893,NA,NA,8.432,NA,NA
"4836",1035100,1035200,10351,NA,1,16.081,NA,NA,52.894,NA,NA
"4837",1035600,1035700,10356,NA,1,29.925,NA,NA,43.75,NA,NA
"4838",1036200,1036300,10362,0.5,1,52.797,0.965207941,-1,67.553,0.4091308328,-1
"4839",1036400,1036500,10364,NA,1,93.992,NA,NA,92.996,NA,NA
"4840",1036600,1036700,10366,NA,1,64.332,NA,NA,87.97,NA,NA
"4841",1037000,1037100,10370,0.5,1,4.486,-0.268630856,-1,10.146,0.6871693869,-1
"4842",1037500,1037600,10375,0.25,1,NA,0.4091308328,-1,NA,-0.126578845,-1
"4843",1038100,1038200,10381,0.5,1,63.687,1.0313583431,1,68.393,0.6871693869,1
"4844",1038400,1038500,10384,0.5,1,11.242,0.4294982629,-1,50.907,NA,NA
"4845",1038500,1038600,10384,0.5,1,50.907,NA,NA,10.158,-1.796393039,0
"4846",1038400,1038600,10384,0.5,1,11.242,0.4294982629,-1,10.158,-1.796393039,0
"4847",1038700,1038800,10387,NA,1,NA,NA,NA,24.195,NA,NA
"4848",1039300,1039400,10393,NA,1,51.75,NA,NA,71.896,NA,NA
"4849",1039400,1039500,10393,NA,1,71.896,NA,NA,NA,NA,NA
"4850",1039300,1039500,10393,0.75,1,51.75,NA,NA,NA,NA,NA
"4851",1039300,1039600,10393,NA,1,51.75,NA,NA,52.144,NA,NA
"4852",1039500,1039600,10393,NA,1,NA,NA,NA,52.144,NA,NA
"4853",1039400,1039600,10393,NA,1,71.896,NA,NA,52.144,NA,NA
"4854",1039800,1039900,10398,NA,1,51.112,NA,NA,44.202,NA,NA
"4855",1040100,1040200,10401,NA,1,51.646,0.1972426808,0,83.972,NA,NA
"4856",1040300,1040400,10403,NA,1,63.451,NA,NA,32.191,NA,NA
"4857",1040500,1040600,10405,0.5,1,67.766,NA,NA,97.484,1.0313583431,0
"4858",1040600,1040700,10405,0.5,1,97.484,1.0313583431,0,94.197,NA,NA
"4859",1040500,1040700,10405,0.5,1,67.766,NA,NA,94.197,NA,NA
"4860",1041300,1041400,10413,NA,1,71.953,NA,NA,17.669,NA,NA
"4861",1041700,1041800,10417,NA,1,8.483,NA,NA,1.942,NA,NA
"4862",1041800,1041900,10417,NA,1,1.942,NA,NA,19.386,NA,NA
